vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
rca1,healthy,7.37109375,3239,2.617894366167327,5.852637404840371,8.59283954661435,10.531493106044044,57.89020015988627
rca1,healthy,7.72265625,3339,6.630867484569835,9.925013989943569,11.663126035717013,13.774089177754599,57.32575075111448
rca1,healthy,8.07421875,3439,10.214937114757173,12.950232695449575,14.446266141558983,16.17370822031806,56.5012114732724
rca1,healthy,8.42578125,3539,13.212352988948322,16.246197521936505,16.99925141273565,18.801886521218503,55.31277003962068
rca1,healthy,8.77734375,3639,16.42913538533667,19.691794644112104,19.410415074664932,21.571811239385433,53.881671849363485
lad2,diseased,-1.76953125,76,33.95868557377865,56.14387957891939,33.674509726072614,50.93499357899566,12.503738660325812
lad2,diseased,-1.41796875,279,31.415371012944046,56.143879578919574,31.8751200031636,50.93499357899589,10.98659910458832
lad2,diseased,-1.06640625,443,23.318811341817437,55.9074552480392,25.760582078660313,50.747520006105496,12.580222163500697
lad2,diseased,-0.71484375,599,8.459134539300093,52.93098541130002,14.238348728527807,48.387316922032696,14.24040760114105
lad2,diseased,-0.36328125,811,-13.520002731816836,45.50562281503452,-2.8295557296682152,42.49934739392036,15.632813600066033
lad2,diseased,0.33984375,912,-34.58834990806747,-68.77461555819593,-19.498576561479194,-46.90857931340293,14.559946066757059
lad2,diseased,0.69140625,971,-50.7345542983832,-69.1483729822352,-32.50837572190592,-47.26126968364637,14.508204935684752
lad2,diseased,1.04296875,1063,-60.38642069201142,-70.28545883760557,-40.08147828700065,-48.329866845411416,16.032498414061767
lad2,diseased,1.39453125,1156,-66.11039852766017,-72.4587537130899,-44.417091414590196,-50.36558782480352,17.580415799485426
lad2,diseased,1.74609375,1233,-70.27040182470985,-74.39269617632883,-47.47988423678513,-52.216242772468604,18.549874579333576
lad2,diseased,2.09765625,1312,-72.51289413378733,-74.97782950153572,-49.51048225282533,-52.9641643172332,20.427395461027924
lad2,diseased,2.44921875,1397,-73.21496675858432,-75.43736288006889,-50.75895762319811,-53.62454253462338,24.61308055282757
