group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein
healthy,1,7113,2381,5702,-75.00338094525866,-63.10744259708922,-55.52812689657757,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.38665429264744067,0.5783179598595426,0.0350277474930167
healthy,2,10268,9264,9890,-75.96759633301036,-71.6104040495884,-70.21898123796115,0.23849081456348312,0.737733100731456,0.02377608470506085,0.30973612994987904,0.6563903622443632,0.0338735078057578
healthy,3,12691,11117,12220,-76.89738634083918,-74.25460532261248,-72.02892128012574,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.28137227268284815,0.6878471961222256,0.0307805311949263
healthy,4,11711,9200,10986,-77.79397343002832,-75.34598994317263,-71.3855319649019,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.28024548287956774,0.691357363345059,0.028397153775373156
healthy,5,10794,8184,9980,-78.65853960050089,-78.53118413074975,-73.50415009955366,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.26255038468478775,0.7126319455475207,0.024817669767691522
healthy,6,9045,7427,8546,-79.49223170310245,-84.22820167392553,-79.96580681777408,0.21611474978544568,0.7627913568780625,0.02109389333649176,0.24618286646788307,0.730448081042557,0.023369052489559936
healthy,7,9823,7502,8925,-80.29615321562717,-88.34159190900738,-83.13085962674865,0.21129919916215067,0.7683028642905563,0.020397936547293067,0.2543936205969059,0.7261077406928135,0.019498638710280652
healthy,8,7879,5571,6998,-81.07136567615261,-86.54792349018842,-82.04769262404876,0.20693041551108618,0.773423042176554,0.019646542312359804,0.25973849758134426,0.7212235756638038,0.01903792675485193
healthy,9,6999,5282,6377,-81.81889597565137,-87.38909941069875,-83.52680336556054,0.20231036984467432,0.7786486541699446,0.01904097598538111,0.24647503817675498,0.7337099819029562,0.019814979920288807
healthy,10,6399,4908,5875,-82.53973211851711,-88.69575064300811,-84.0463397606383,0.19766632606904644,0.7838214233318566,0.01851225059909698,0.23235959167527515,0.7454598467674369,0.022180561557287905
healthy,11,6488,4976,5912,-83.23482725268487,-89.5993742183857,-85.13233673040212,0.19304450252971625,0.7889111288265139,0.01804436864376982,0.2190913786497735,0.7587051387379895,0.02220348261223697
healthy,12,6336,4965,5868,-83.9050989300593,-88.73088539138901,-84.57768504995022,0.18912281433526687,0.7934403304423326,0.01743685522240049,0.2243532011269578,0.7565421531420023,0.019104645731039902
healthy,13,6794,5294,6347,-84.55143581210037,-89.34030713015427,-84.65005590109182,0.18498016107476825,0.7980633241600447,0.01695651476518709,0.22217582943403588,0.760297882227442,0.017526288338522093
healthy,14,7309,5815,6901,-85.17469075243491,-89.79461206319715,-85.10421966604696,0.1813834475820552,0.8022395120059364,0.01637704041200839,0.21886746368800966,0.7628692940334681,0.01826324227852203
healthy,15,8224,6379,7677,-85.77569128253181,-91.5557203940191,-87.01240767428881,0.17698627432906724,0.8069240643682903,0.016089661302642475,0.21403430544557323,0.7683613597259991,0.01760433482842788
healthy,16,8674,6765,7982,-86.35522820490354,-93.03918589093645,-89.09382111074571,0.173406711984626,0.8109737505617961,0.0156195374535779,0.2046960627169366,0.7766065242216651,0.018697413061398303
healthy,17,9077,7009,8242,-86.9140696966459,-93.84450688078428,-89.93520486438717,0.1699237415165385,0.8149009302164146,0.015175328267046916,0.1966753082072107,0.7823787584498514,0.020945933342937928
healthy,18,8970,6932,8178,-87.45295513155271,-92.39941869659776,-89.70840460002262,0.16639931683692794,0.8188052489452065,0.014795434217865555,0.20638569842331075,0.7739132745174477,0.019701027059241656
healthy,19,8707,6537,7877,-87.97259641989004,-92.64852089580637,-90.31891074791405,0.1631310999501747,0.8224778785436467,0.014391021506178553,0.2148179240981479,0.7661933799273976,0.018988695974454493
healthy,20,8327,6223,7524,-88.47368143068998,-95.33032653332906,-91.48658328966407,0.1598448315831778,0.8261147440210026,0.014040424395819673,0.2218525768449303,0.7625919488814635,0.015555474273606314
diseased,1,2953,1150,2402,-68.39024947183411,-55.69991312773331,-52.37074617104764,0.2711078552748024,0.6948246293265149,0.03406751539868272,0.43354413302768,0.5312076263435286,0.03524824062879147
diseased,2,4719,4226,4489,-69.73252174953547,-67.08658488328233,-65.93956537474023,0.26873224476860025,0.7000173728131248,0.03125038241827497,0.3600292579631707,0.6088639032511887,0.031106838785640648
diseased,3,5924,4926,5506,-71.03151514149735,-72.41956028762117,-70.5955843868318,0.25976782200714593,0.7097605823482122,0.030471595644641823,0.32644716582795147,0.6497517749484055,0.023801059223643055
diseased,4,5428,4139,4814,-72.28860769627336,-80.01919595916999,-79.28031174771064,0.2517090865370699,0.718753122021348,0.029537791441582084,0.315149872866243,0.6656719233624332,0.01917820377132379
diseased,5,4845,3330,3945,-73.50514942240264,-86.60245002425826,-85.37312334976873,0.24514129371920396,0.7265842691080044,0.028274437172791666,0.28718866178225083,0.6913084341764362,0.021502904041312908
diseased,6,3672,2571,3016,-74.68244370246467,-83.5283624700237,-79.98913303104572,0.2418827672542551,0.7319703911032809,0.026146841642464013,0.2809577895658755,0.6960642432298044,0.022977967204319986
diseased,7,3493,2577,3018,-75.82177298362397,-81.09877668076538,-78.73724211028588,0.23511746994523233,0.7397393557177674,0.025143174337000355,0.297671201494279,0.6816527413537193,0.02067605715200164
diseased,8,3248,2347,2775,-76.92434971128529,-84.66807622588539,-80.72027826876254,0.22988483406695123,0.7463273343391916,0.023787831593857122,0.2994959836891969,0.6815436606085359,0.018960355702267305
diseased,9,3368,2445,2903,-77.99136340953802,-87.28676383129658,-81.98230141506005,0.22448479238654623,0.7529407766138572,0.022574430999596582,0.29935237119710784,0.6842159842381244,0.01643164456476786
diseased,10,3110,2243,2672,-79.02396112986722,-89.12300228402916,-83.32504253901408,0.21893977493428904,0.7595668067321351,0.021493418333575896,0.2809941315235141,0.7029397039808775,0.016066164495608423
diseased,11,3288,2366,2837,-80.02325313930461,-90.99651651390508,-85.39646330407525,0.21318455603754297,0.7662544969334555,0.020560947029001606,0.2667442201391832,0.7177002970147576,0.015555482846059135
diseased,12,3303,2277,2832,-80.99031300829108,-94.54887107845771,-88.47411890218487,0.2075154831602233,0.7727968955337278,0.01968762130604898,0.25318163325459214,0.7328047150093557,0.014013651736052055
diseased,13,3311,2160,2786,-81.9261805690186,-97.11773684466327,-89.40230399074952,0.20185771350114784,0.7792496976976936,0.01889258880115848,0.2495943523988127,0.7381267795542734,0.012278868046913907
diseased,14,3241,2114,2712,-82.83186297767408,-97.19758021120994,-89.92010631744137,0.19578774665159265,0.7859152991998688,0.01829695414853849,0.25286011262609875,0.7348261929051855,0.012313694468715877
diseased,15,3217,2003,2660,-83.70833182338869,-99.32623870266835,-91.76398597157987,0.19014763786947306,0.7922002198527419,0.017652142277784957,0.24899823944118155,0.7410084306275556,0.00999332993126276
diseased,16,3043,1816,2451,-84.5565292262513,-104.18733422346577,-93.99858205010092,0.1849925407567383,0.7980678854386245,0.01693957380463712,0.2327505785508642,0.7581633509579244,0.009086070491211358
diseased,17,2930,1609,2315,-85.37736838745916,-104.7270797352527,-94.7288466781056,0.17977877352726743,0.8039055124827367,0.016315713989995907,0.24142979905805328,0.7511834136650427,0.007386787276904113
diseased,18,2730,1357,2096,-86.17173113417593,-107.98059177890629,-95.67311846572935,0.1747597393000154,0.8095360444956053,0.015704216204379264,0.25118835046238364,0.7423656631615483,0.006445986376068081
diseased,19,2520,1157,1886,-86.94047235714338,-110.71056843216087,-95.54253695094573,0.16956828906388824,0.8152215924147561,0.015210118521355715,0.2642675847430418,0.7297080919208997,0.006024323336058457
diseased,20,2455,1138,1861,-87.68441759979807,-113.15959525150238,-95.7002630792338,0.16456937660421822,0.8207059949627727,0.014724628433008997,0.2776928553743161,0.7183455714212578,0.003961573204426108
