# Oxford radial profile inverted to the TISSUE domain by forward-model fit
# (sigma = 1.05 mm, FWHM = 2.473 mm), so that
# re-simulating blurs ONCE and the measurement returns to the clinical curve.
# Closure: protein/water ratio held at the CSV row's own value; see pcat_deconv_design.jl
group,distance_mm,water_volume_fraction,lipid_volume_fraction,protein_volume_fraction
healthy,1,0.24225902582901307,0.7325436068228566,0.02519736734813043
healthy,2,0.23849081456348312,0.737733100731456,0.02377608470506085
healthy,3,0.2319488704945608,0.7447958391042918,0.023255290401147374
healthy,4,0.22552920269486557,0.7516851727852318,0.02278562451990258
healthy,5,0.2207269027060472,0.7573459412449125,0.021927156049040292
healthy,6,0.21611474978544568,0.7627913568780625,0.02109389333649176
healthy,7,0.21129919916215067,0.7683028642905563,0.020397936547293067
healthy,8,0.20693041551108618,0.773423042176554,0.019646542312359804
healthy,9,0.20231036984467432,0.7786486541699446,0.01904097598538111
healthy,10,0.19766632606904644,0.7838214233318566,0.01851225059909698
healthy,11,0.19304450252971625,0.7889111288265139,0.01804436864376982
healthy,12,0.18912281433526687,0.7934403304423326,0.01743685522240049
healthy,13,0.18498016107476825,0.7980633241600447,0.01695651476518709
healthy,14,0.1813834475820552,0.8022395120059364,0.01637704041200839
healthy,15,0.17698627432906724,0.8069240643682903,0.016089661302642475
healthy,16,0.173406711984626,0.8109737505617961,0.0156195374535779
healthy,17,0.1699237415165385,0.8149009302164146,0.015175328267046916
healthy,18,0.16639931683692794,0.8188052489452065,0.014795434217865555
healthy,19,0.1631310999501747,0.8224778785436467,0.014391021506178553
healthy,20,0.1598448315831778,0.8261147440210026,0.014040424395819673
diseased,1,0.2711078552748024,0.6948246293265149,0.03406751539868272
diseased,2,0.26873224476860025,0.7000173728131248,0.03125038241827497
diseased,3,0.25976782200714593,0.7097605823482122,0.030471595644641823
diseased,4,0.2517090865370699,0.718753122021348,0.029537791441582084
diseased,5,0.24514129371920396,0.7265842691080044,0.028274437172791666
diseased,6,0.2418827672542551,0.7319703911032809,0.026146841642464013
diseased,7,0.23511746994523233,0.7397393557177674,0.025143174337000355
diseased,8,0.22988483406695123,0.7463273343391916,0.023787831593857122
diseased,9,0.22448479238654623,0.7529407766138572,0.022574430999596582
diseased,10,0.21893977493428904,0.7595668067321351,0.021493418333575896
diseased,11,0.21318455603754297,0.7662544969334555,0.020560947029001606
diseased,12,0.2075154831602233,0.7727968955337278,0.01968762130604898
diseased,13,0.20185771350114784,0.7792496976976936,0.01889258880115848
diseased,14,0.19578774665159265,0.7859152991998688,0.01829695414853849
diseased,15,0.19014763786947306,0.7922002198527419,0.017652142277784957
diseased,16,0.1849925407567383,0.7980678854386245,0.01693957380463712
diseased,17,0.17977877352726743,0.8039055124827367,0.016315713989995907
diseased,18,0.1747597393000154,0.8095360444956053,0.015704216204379264
diseased,19,0.16956828906388824,0.8152215924147561,0.015210118521355715
diseased,20,0.16456937660421822,0.8207059949627727,0.014724628433008997
