group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
healthy,1,7113,110,5702,-75.00338094525866,-69.8940160924738,-55.52812689657757,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.3280833081225326,0.643511887306048,0.028404804571419515,0.012438002152690867,0.009766100351751732,0.0029866290032103263,0.10242772461034846,false
healthy,2,10268,964,9890,-75.96759633301036,-74.653516994967,-70.21898123796115,0.23849081456348312,0.737733100731456,0.02377608470506085,0.25878484565445714,0.7087809927326955,0.03243416161284722,0.003619036371401882,0.002780131165641545,0.0009963883422495201,0.08631848378787273,false
healthy,3,12691,3440,12220,-76.89738634083918,-77.36514259881751,-72.02892128012574,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.2501116856084206,0.7216414041944719,0.02824691019710771,0.002037907723010876,0.0016144452622839753,0.0005173153690122358,0.09468965760258317,true
healthy,4,11711,3953,10986,-77.79397343002832,-80.00871915983726,-71.3855319649019,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.24178357048341326,0.7345093179865445,0.023707111530042378,0.001775526731819245,0.0014237530293132138,0.00046961920766586265,0.08951546423694468,true
healthy,5,10794,4302,9980,-78.65853960050089,-83.35702050801822,-73.50415009955366,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.23049106379790307,0.749040035961238,0.020468900240858942,0.0016475792270071008,0.0013740510721539166,0.00040729665125081963,0.09012350599545761,true
healthy,6,9045,2972,8546,-79.49223170310245,-85.77204462336339,-79.96580681777408,0.21611474978544568,0.7627913568780625,0.02109389333649176,0.21492454072066844,0.762745712336096,0.02232974694323567,0.002102173435117309,0.001739899465953974,0.0005319492796588796,0.09485245094690606,true
healthy,7,9823,2439,8925,-80.29615321562717,-86.48074730110247,-83.13085962674865,0.21129919916215067,0.7683028642905563,0.020397936547293067,0.20814475337264765,0.7703919377289542,0.02146330889839814,0.0024049361576648667,0.0020267486557208805,0.0005612186261006955,0.10009348114010491,true
healthy,8,7879,2058,6998,-81.07136567615261,-85.2819406492717,-82.04769262404876,0.20693041551108618,0.773423042176554,0.019646542312359804,0.22485304175077958,0.7576621502084887,0.017484808040731645,0.0024979578410533206,0.002099513037111949,0.0005669109700100954,0.09524479710514508,true
healthy,9,6999,2034,6377,-81.81889597565137,-85.577951071185,-83.52680336556054,0.20231036984467432,0.7786486541699446,0.01904097598538111,0.2257394111844777,0.757134969684275,0.017125619131247327,0.00241458547365197,0.002021604513295388,0.0005698790411037596,0.09117413942467766,true
healthy,10,6399,1953,5875,-82.53973211851711,-87.48152686459433,-84.0463397606383,0.19766632606904644,0.7838214233318566,0.01851225059909698,0.2004638780123995,0.7777202290582477,0.021815892929352806,0.002486771602148946,0.0020006226542955453,0.0006744627471433551,0.08841303598752687,true
healthy,11,6488,2075,5912,-83.23482725268487,-88.26837618540569,-85.13233673040212,0.19304450252971625,0.7889111288265139,0.01804436864376982,0.19256700734319426,0.7868925333602977,0.020540459296508023,0.0021275169251470747,0.0016840287620287536,0.0006032320575815657,0.0767111609091578,true
healthy,12,6336,2219,5868,-83.9050989300593,-87.88500806199049,-84.57768504995022,0.18912281433526687,0.7934403304423326,0.01743685522240049,0.1972649137491154,0.7845763138922203,0.01815877235866431,0.001960951786449614,0.0015433205778603435,0.0005505778534781217,0.07270006480752753,true
