group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
healthy,1,7113,2381,5702,-75.00338094525866,-63.10744259708922,-55.52812689657757,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.4027631780559715,0.5651251392985099,0.032111682645518655,0.0031534661578485825,0.002650579773463097,0.000700422064283488,0.1293363430579576,false
healthy,2,10268,9264,9890,-75.96759633301036,-71.6104040495884,-70.21898123796115,0.23849081456348312,0.737733100731456,0.02377608470506085,0.3248217058362097,0.6438497295107842,0.03132856465300601,0.0014806585335590636,0.001230858352465798,0.0003412600228900729,0.1184697167948238,false
healthy,3,12691,11117,12220,-76.89738634083918,-74.25460532261248,-72.02892128012574,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.2970593459563891,0.6745001386219249,0.02844051542168591,0.0012990635680463897,0.0010925554033436743,0.0002886554065742749,0.1151959662849658,true
healthy,4,11711,9200,10986,-77.79397343002832,-75.34598994317263,-71.3855319649019,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.2956684962895767,0.6781757499301226,0.026155753780300647,0.001450874340679726,0.0012551768992978922,0.0003186695647965121,0.12039233881973493,true
healthy,5,10794,8184,9980,-78.65853960050089,-78.53118413074975,-73.50415009955366,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.2777301525355302,0.6993576290533224,0.022912218411147427,0.001540842722423799,0.0013679790914120612,0.000315700330443423,0.12375486191063367,true
healthy,6,9045,7427,8546,-79.49223170310245,-84.22820167392553,-79.96580681777408,0.21611474978544568,0.7627913568780625,0.02109389333649176,0.2601817748531111,0.7181060276034704,0.02171219754341824,0.001622647226847544,0.0014696197778741877,0.0003347460650272828,0.12665189725823867,true
healthy,7,9823,7502,8925,-80.29615321562717,-88.34159190900738,-83.13085962674865,0.21129919916215067,0.7683028642905563,0.020397936547293067,0.2685071535399951,0.7135158603484295,0.01797698611157535,0.0016253150270366147,0.0014876910726843036,0.0003140768256887843,0.12885500342454612,true
healthy,8,7879,5571,6998,-81.07136567615261,-86.54792349018842,-82.04769262404876,0.20693041551108618,0.773423042176554,0.019646542312359804,0.2746173036654186,0.7078569510434437,0.01752574529113773,0.001806374486963907,0.0016392400562419498,0.0003623176860449894,0.12235145465516854,true
healthy,9,6999,5282,6377,-81.81889597565137,-87.38909941069875,-83.52680336556054,0.20231036984467432,0.7786486541699446,0.01904097598538111,0.2620105322879788,0.7196819381669143,0.0183075295451069,0.0016826720781929203,0.0014980724139321622,0.00038104039050711376,0.10887596197924093,true
healthy,10,6399,4908,5875,-82.53973211851711,-88.69575064300811,-84.0463397606383,0.19766632606904644,0.7838214233318566,0.01851225059909698,0.24766266175779308,0.7317177848013561,0.02061955344085081,0.0019584550639836465,0.0017457888056411118,0.0004217369311701418,0.12230493507029931,true
healthy,11,6488,4976,5912,-83.23482725268487,-89.5993742183857,-85.13233673040212,0.19304450252971625,0.7889111288265139,0.01804436864376982,0.233170754952811,0.7461361593443055,0.02069308570288344,0.0019340098631476892,0.0017451968941680873,0.00040370755048539035,0.12310752984396915,true
healthy,12,6336,4965,5868,-83.9050989300593,-88.73088539138901,-84.57768504995022,0.18912281433526687,0.7934403304423326,0.01743685522240049,0.23791736797607788,0.744358422230561,0.017724209793361034,0.0018185299798217597,0.0016337799503264212,0.0003708711802844912,0.11512063819328797,true
healthy,13,6794,5294,6347,-84.55143581210037,-89.34030713015427,-84.65005590109182,0.18498016107476825,0.7980633241600447,0.01695651476518709,0.23535900117147227,0.748430237235482,0.016210761593045884,0.0016723813499675705,0.0014810875405925207,0.00035740692423436835,0.10776375032237945,true
healthy,14,7309,5815,6901,-85.17469075243491,-89.79461206319715,-85.10421966604696,0.1813834475820552,0.8022395120059364,0.01637704041200839,0.23249470415974074,0.7504830530175011,0.01702224282275818,0.0015821000900962533,0.001383303128956952,0.00034879423527464404,0.10548536715286569,true
healthy,15,8224,6379,7677,-85.77569128253181,-91.5557203940191,-87.01240767428881,0.17698627432906724,0.8069240643682903,0.016089661302642475,0.22761478505613494,0.7560242533164152,0.01636096162744979,0.0015594444401731994,0.0013788368816086286,0.00031700639457121093,0.11012582949004815,true
healthy,16,8674,6765,7982,-86.35522820490354,-93.03918589093645,-89.09382111074571,0.173406711984626,0.8109737505617961,0.0156195374535779,0.21834438840362413,0.7641795010897995,0.017476110506576402,0.0015625289507188913,0.001380517195802367,0.00032129269352816473,0.11354701484092086,true
healthy,17,9077,7009,8242,-86.9140696966459,-93.84450688078428,-89.93520486438717,0.1699237415165385,0.8149009302164146,0.015175328267046916,0.2105806705827413,0.7697087508566873,0.01971057856057142,0.0015667350446156108,0.0013639525215976976,0.00035006850517171033,0.11418979230447694,true
healthy,18,8970,6932,8178,-87.45295513155271,-92.39941869659776,-89.70840460002262,0.16639931683692794,0.8188052489452065,0.014795434217865555,0.22033608079949207,0.7611608881100784,0.018503031090429632,0.001655312458258134,0.0014563966796560556,0.00034041217685318027,0.12125759692478401,true
healthy,19,8707,6537,7877,-87.97259641989004,-92.64852089580637,-90.31891074791405,0.1631310999501747,0.8224778785436467,0.014391021506178553,0.22826854737216676,0.7537967826011656,0.017934670026667567,0.0017686748037493685,0.0015559496872516272,0.00035490496625318756,0.1258012024150103,true
healthy,20,8327,6223,7524,-88.47368143068998,-95.33032653332906,-91.48658328966407,0.1598448315831778,0.8261147440210026,0.014040424395819673,0.23566973129854363,0.7497081117531802,0.014622156948276278,0.0017523709861924023,0.0015640776360005618,0.0003366753136166772,0.12338381851966289,true
diseased,1,2953,1150,2402,-68.39024947183411,-55.69991312773331,-52.37074617104764,0.2711078552748024,0.6948246293265149,0.03406751539868272,0.4489604783161742,0.519409950570766,0.031629571113059814,0.0038906713150426856,0.0033573974670872845,0.0009566379486018622,0.1138548875314746,false
diseased,2,4719,4226,4489,-69.73252174953547,-67.08658488328233,-65.93956537474023,0.26873224476860025,0.7000173728131248,0.03125038241827497,0.37450493024401443,0.5973915230234889,0.028103546732496792,0.0019492986567798598,0.001697542513118968,0.0004624534668343361,0.11035332059949214,false
diseased,3,5924,4926,5506,-71.03151514149735,-72.41956028762117,-70.5955843868318,0.25976782200714593,0.7097605823482122,0.030471595644641823,0.3423246598869359,0.6361880860258754,0.021487254087188726,0.0017423062740873085,0.0015318697698307974,0.0004101496247281418,0.10751499760135752,true
diseased,4,5428,4139,4814,-72.28860769627336,-80.01919595916999,-79.28031174771064,0.2517090865370699,0.718753122021348,0.029537791441582084,0.3318760267561647,0.6506537014537973,0.017470271790037982,0.001973358158978386,0.0017617257025593117,0.0004291765935748334,0.11334072952795689,true
diseased,5,4845,3330,3945,-73.50514942240264,-86.60245002425826,-85.37312334976873,0.24514129371920396,0.7265842691080044,0.028274437172791666,0.30296058206125037,0.677061400369376,0.019978017569373535,0.002422838367274312,0.002121358849533789,0.0005328840191497918,0.12241545661022311,true
diseased,6,3672,2571,3016,-74.68244370246467,-83.5283624700237,-79.98913303104572,0.2418827672542551,0.7319703911032809,0.026146841642464013,0.2964432695080969,0.6822365911171903,0.021320139374712697,0.0028176960685479526,0.002462537506296654,0.0006086145890337525,0.12486303649863123,true
diseased,7,3493,2577,3018,-75.82177298362397,-81.09877668076538,-78.73724211028588,0.23511746994523233,0.7397393557177674,0.025143174337000355,0.31480456855844086,0.6660192395067615,0.019176191934797648,0.00283718509312438,0.0025212621815605438,0.000557838362367703,0.12798975826411843,true
diseased,8,3248,2347,2775,-76.92434971128529,-84.66807622588539,-80.72027826876254,0.22988483406695123,0.7463273343391916,0.023787831593857122,0.31594936384434535,0.6665407352164823,0.017509900939172388,0.002724812279985984,0.0024446052412502597,0.0005979367906914425,0.11843096918324075,true
diseased,9,3368,2445,2903,-77.99136340953802,-87.28676383129658,-81.98230141506005,0.22448479238654623,0.7529407766138572,0.022574430999596582,0.31440973117335536,0.6703568617012317,0.01523340712541306,0.0027724149373778515,0.0024666302445569025,0.0005697193349825718,0.1219673208134956,true
diseased,10,3110,2243,2672,-79.02396112986722,-89.12300228402916,-83.32504253901408,0.21893977493428904,0.7595668067321351,0.021493418333575896,0.294819186276739,0.6902404337042224,0.014940380019038585,0.0030067931708483812,0.0026948345013733453,0.0005629057374081277,0.1276282268783193,true
diseased,11,3288,2366,2837,-80.02325313930461,-90.99651651390508,-85.39646330407525,0.21318455603754297,0.7662544969334555,0.020560947029001606,0.2813699442481322,0.7041324185140536,0.014497637237814099,0.002818183310847444,0.002564869456894936,0.0005066606886131005,0.12475921574352344,true
diseased,12,3303,2277,2832,-80.99031300829108,-94.54887107845771,-88.47411890218487,0.2075154831602233,0.7727968955337278,0.01968762130604898,0.2675832483342309,0.719504611572945,0.012912140092824065,0.0026874969824475623,0.0024709037736826965,0.00047180465712368726,0.11790639147088768,true
diseased,13,3311,2160,2786,-81.9261805690186,-97.11773684466327,-89.40230399074952,0.20185771350114784,0.7792496976976936,0.01889258880115848,0.2635897394759261,0.7252293367416568,0.011180923782417002,0.0026122207671026845,0.0024510869462298635,0.0004387569319282901,0.11391622707425586,true
diseased,14,3241,2114,2712,-82.83186297767408,-97.19758021120994,-89.92010631744137,0.19578774665159265,0.7859152991998688,0.01829695414853849,0.26711367304258765,0.721729908772728,0.011156418184684347,0.0027968869077799313,0.0025922981571765203,0.000446329471325666,0.11918934759982311,true
diseased,15,3217,2003,2660,-83.70833182338869,-99.32623870266835,-91.76398597157987,0.19014763786947306,0.7922002198527419,0.017652142277784957,0.2627771349619151,0.7283915724161133,0.00883129262197137,0.0028968678844920395,0.0027778761832944186,0.0003913159235371243,0.12432353746454398,true
diseased,16,3043,1816,2451,-84.5565292262513,-104.18733422346577,-93.99858205010092,0.1849925407567383,0.7980678854386245,0.01693957380463712,0.2476536451979582,0.7442190126785668,0.008127342123475044,0.003152033722123132,0.0030615002803994233,0.00042112869212272816,0.13046446138264825,true
diseased,17,2930,1609,2315,-85.37736838745916,-104.7270797352527,-94.7288466781056,0.17977877352726743,0.8039055124827367,0.016315713989995907,0.255204205535514,0.7382507352482287,0.006545059216257237,0.0033624739303455536,0.003276077640855865,0.0003991822964175142,0.1314111475356844,true
diseased,18,2730,1357,2096,-86.17173113417593,-107.98059177890629,-95.67311846572935,0.1747597393000154,0.8095360444956053,0.015704216204379264,0.2640443753644938,0.7300723403450682,0.005883284290438012,0.0038667514287077432,0.0038024335039156905,0.00047669995821949,0.1400720716226388,true
diseased,19,2520,1157,1886,-86.94047235714338,-110.71056843216087,-95.54253695094573,0.16956828906388824,0.8152215924147561,0.015210118521355715,0.2774584214488606,0.7170366377785922,0.0055049407725471875,0.004008232599797263,0.003951996575373442,0.0004919788956657876,0.13442598859614263,true
diseased,20,2455,1138,1861,-87.68441759979807,-113.15959525150238,-95.7002630792338,0.16456937660421822,0.8207059949627727,0.014724628433008997,0.29204798880485155,0.7044307726231623,0.003521238571986144,0.003541297222671408,0.003541690743548514,0.0003576250244525482,0.11947630075250305,true
