vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
rca1,healthy,4.20703125,1908,-23.817846613610065,-23.52537929921987,-10.30913589597998,-11.44344709213936,54.72778195918665
rca1,healthy,4.55859375,1930,-17.943979338784292,-17.296359751166722,-5.516469688767597,-6.509512832528932,54.6212651590473
rca1,healthy,4.91015625,1969,-11.04734554425177,-9.534950964682743,-0.36460234173334694,-0.3551505939234645,53.93333134100386
rca1,healthy,5.26171875,1992,-3.5029774912629263,-0.07004732085679691,5.220866339543019,7.155058270597151,52.742488776663535
rca1,healthy,5.61328125,2027,4.301139727712678,9.362702636973426,10.96961285778908,14.628067364821774,50.45273620441115
rca1,healthy,5.96484375,2038,12.92539508150885,18.869755214636296,17.487930098623476,22.158699868187735,46.548405485630916
rca1,healthy,6.31640625,2089,19.45645220562737,26.4955108792681,22.780757292398942,28.18123780448381,42.599428224042846
rca1,healthy,6.66796875,2180,24.483111704489506,32.77684501565456,26.840168885845657,33.11705954981026,38.40780455655926
rca1,healthy,7.01953125,2302,28.28339796383209,37.853061038793086,29.881375445659838,37.108016766077135,34.71935009558593
rca1,healthy,7.37109375,2431,32.25392808633692,42.18070562866886,32.87335608516491,40.495917459072345,30.22709479421487
rca1,healthy,7.72265625,2543,36.06970128664293,45.411797203365786,35.64499583241511,43.008657356204424,25.975137258023384
rca1,healthy,8.07421875,2644,39.19276913820164,47.948075161247,37.968241023516875,44.97800884109023,22.38944331743981
rca1,healthy,8.42578125,2764,40.759966092909295,49.806472730653695,39.357547266912874,46.39955263785034,20.32691575056201
rca1,healthy,8.77734375,2907,41.98620867988561,50.6983189772836,40.15995926253362,47.05350084852903,19.064262984617045
lad2,diseased,-1.76953125,76,34.71234017924259,56.14387957891939,34.42121816936292,50.93499357899566,12.563281710040153
lad2,diseased,-1.41796875,279,32.126389640206504,56.143879578919574,32.5841118101578,50.93499357899589,10.969024064147105
lad2,diseased,-1.06640625,443,24.065773463410665,55.9074552480392,26.50786330145584,50.747520006105496,12.457045968999777
lad2,diseased,-0.71484375,599,9.288249540408586,52.93098541130002,15.069743375845864,48.387316922032696,14.058667857108565
lad2,diseased,-0.36328125,811,-12.519966806568728,45.50562281503452,-1.8301694264770951,42.49934739392036,15.39274887055296
lad2,diseased,0.33984375,902,-33.12689254236327,-68.50706062862491,-18.094312191802487,-46.59183014650625,14.109048465806067
