vessel,group,subring,n_pixels,gt_water,gt_lipid,gt_protein,measured_water,measured_lipid,measured_protein,sd_water,sd_lipid,sd_protein
rca1,healthy,1,93,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.35040340272392617,0.6179579429954617,0.03163865428061196,0.1476132883027858,0.11929823903777849,0.03346952955949055
rca1,healthy,2,2938,0.23849081456348312,0.737733100731456,0.02377608470506085,0.3258349040674348,0.642854801853986,0.031310294078579146,0.14033582356163476,0.1134570251273119,0.03257073249850517
rca1,healthy,3,3483,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.3047639565305348,0.6669113074776815,0.02832473599178375,0.1281332387920893,0.10535434381188456,0.02919733167500588
rca1,healthy,4,1577,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.30177580159978723,0.67404150346725,0.02418269493296276,0.1282732906947435,0.10775740173515208,0.027965271975742282
rca1,healthy,5,190,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.30126796068464645,0.6800373615456573,0.018694677769696116,0.11621892877658377,0.09902880585370784,0.023088971495480635
lad2,diseased,1,296,0.2711078552748024,0.6948246293265149,0.03406751539868272,0.4491371261178519,0.5214525367594227,0.029410337122725377,0.12790539868665735,0.11058842512112368,0.033814104277283534
lad2,diseased,2,2236,0.26873224476860025,0.7000173728131248,0.03125038241827497,0.3438179956637321,0.6341449374884442,0.022037066847823573,0.12457540767415881,0.10670867917861175,0.028055041203990456
lad2,diseased,3,1742,0.25976782200714593,0.7097605823482122,0.030471595644641823,0.3225430661988083,0.6669805280816853,0.010476405719506428,0.10367744827081715,0.08854178251986261,0.021773353007424574
lad2,diseased,4,843,0.2517090865370699,0.718753122021348,0.029537791441582084,0.3698193039488512,0.6272713465873897,0.002909349463759023,0.09966082029284927,0.09423118131458688,0.010786183897691443
lad2,diseased,5,305,0.24514129371920396,0.7265842691080044,0.028274437172791666,0.41725049227089284,0.5826242002254943,0.00012530750361289058,0.14169185935880796,0.1414205407469669,0.001154418554166541
lcx,healthy,1,571,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.3980846205747641,0.5785786577782203,0.02333672164701562,0.13577635785907943,0.11315890869001614,0.02853577480167636
lcx,healthy,2,3419,0.23849081456348312,0.737733100731456,0.02377608470506085,0.32604028856690803,0.648666443638814,0.02529326779427807,0.14150920380847437,0.11930616576780703,0.029945190138022756
lcx,healthy,3,2499,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.2828232625446786,0.6920601634518676,0.025116574003453834,0.14479623718924237,0.125222138212657,0.028820114432819465
lcx,healthy,4,782,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.29540624344993305,0.6819278287744056,0.02266592777566138,0.1424380152430958,0.12651856337970904,0.030866678850494864
