# 8 azimuthal sectors, sector 1 centred on ANTERIOR increasing toward PATIENT LEFT
sector,direction,n_gate,n_pv,fai_HU,fai_standard_error_of_the_mean,truth_HU,ms_water,ms_lipid,ms_protein,gt_water,gt_lipid,gt_protein,mean_radial_distance_mm
1,A,1280,112,-59.353993663191794,0.4533939950401657,-76.17929360111391,0.33010941682129813,0.6494339076765192,0.02045667550218256,0.2266714151659755,0.7508803706772575,0.02244821415676665,1.9698486328125
2,AL,300,47,-60.13036198298136,0.8825164356263941,-76.03479804663735,0.3209744586278419,0.652096996487466,0.02692854488469195,0.23099822593357872,0.745785396492333,0.023216377574088495,2.190234375
3,L,750,66,-54.192511146545414,0.5161360201554546,-75.7147931361864,0.3563807647528147,0.6177804898758272,0.025838745371358045,0.23330670214113639,0.7430289249519598,0.02366437290690373,1.88578125
4,PL,1864,168,-65.90345679434584,0.3410091170300839,-76.10475751757826,0.1822231267964309,0.7684037073066534,0.04937316589691567,0.23432173348309848,0.7417977472394148,0.023880519277486387,2.400960635729614
5,P,2385,59,-68.62422235276964,0.2798719128495326,-76.61188144239323,0.25415151300984334,0.71383443955552,0.03201404743463668,0.22965304447670587,0.7473767204813112,0.02297023504198301,2.5252063679245285
6,PR,1833,175,-68.32085049926292,0.31259241344094235,-76.30287086801879,0.2884143887939867,0.6918744812389519,0.019711129967061276,0.23147771735283235,0.7452205831821793,0.023301699464988068,2.45844414893617
7,R,2503,603,-71.0804582771853,0.2679036451199392,-76.55197664440388,0.26195906682586284,0.7104119058813803,0.027629027292757024,0.2281768920441713,0.749114211174923,0.022708896780905177,2.5223169696364365
8,AR,1859,281,-68.6947824951139,0.2987281207325575,-76.21957051773028,0.2646851686882519,0.7093816734946681,0.025933157817080003,0.2315579304433318,0.7451205475611397,0.023321521995528068,2.4703931885422272
