group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
healthy,17,9077,8818,8243,-86.85692901637522,-93.55111849084953,-89.8948872071164,0.17035087335035382,0.8144491246256149,0.015200002024031253,0.25491991686087906,0.7229040704122494,0.02217601272687154,0.0018197451490437565,0.0017169464071138247,0.0003517295875744111,0.16122848997772585,true
healthy,18,8970,8728,8176,-87.3633632843068,-92.87953765978516,-89.643148861286,0.16713910797863274,0.8180472486484361,0.014813643372931179,0.26551114645447743,0.7146534394234867,0.019835414122035877,0.0018905398214698694,0.0017855955764861356,0.000331443592510162,0.16681706279583364,true
healthy,19,8707,8511,7876,-87.8500335020962,-95.7624361950227,-90.24082441097471,0.16401945857235678,0.8215284706560708,0.014452070771572489,0.27454279006002263,0.7062930435411805,0.019164166398796954,0.0019193263379592394,0.0018073427887284155,0.0003401540098047653,0.16673655565966572,true
healthy,20,8327,8092,7524,-88.31616739815153,-96.03688304398064,-91.38577647541256,0.16100142471996637,0.8248840464882948,0.01411452879173868,0.28044587851067254,0.7024803748297307,0.017073746659596663,0.0019110358469745124,0.0018252838792039243,0.00033200509226069183,0.1641944053599407,true
diseased,1,2953,2953,2404,-68.5070606286259,-46.25836401319972,-52.410138714928394,0.26863298633171484,0.6968819515724118,0.03448506209587328,0.4854194876295943,0.47372771319726154,0.04085279917314421,0.0027186823215529492,0.0023853803414597644,0.0006494868273959824,0.12962517606436352,false
diseased,2,4719,4719,4490,-69.75345788062002,-63.58614034459712,-65.93126930712592,0.2633873740313133,0.7038553345886183,0.0327572913800685,0.3936861858820308,0.5747556373419698,0.03155817677599936,0.0021208086568879174,0.0019539825549261536,0.0004723233686820449,0.1342287885886114,false
diseased,3,5924,5917,5503,-70.93428386500986,-67.73759177908899,-70.53554460774026,0.25876154005370855,0.7102184998508025,0.03101996009548884,0.3727254651991281,0.5996968385975056,0.02757769620336634,0.0019520838745460773,0.001877173328122327,0.0004499791054661777,0.14439599893164135,true
diseased,4,5428,5384,4811,-72.12472137644744,-78.94219693510529,-79.16436405772603,0.25433181144524664,0.7164680009769826,0.02920018757777066,0.376492393365671,0.6008792164745175,0.022628390159811523,0.002216524627083068,0.002179206777515247,0.00046238029651441597,0.1599009214877844,true
diseased,5,4845,4594,3945,-73.2707458929266,-92.74960369177886,-85.17320207661096,0.24972709811232552,0.7227251796687328,0.027547722218941518,0.35462507077627475,0.6220356651660219,0.023339264057703382,0.0026028970305337434,0.002510683071805719,0.0005217384782637613,0.1701717205164124,true
diseased,6,3672,3460,3013,-74.39927685342415,-87.74157622143024,-79.84566609470939,0.24465974451913136,0.7292640620932649,0.02607619338760369,0.34624973872848613,0.6300012412532835,0.023749020018230368,0.003030189617571723,0.002913223985329189,0.0005821281421753596,0.17136097572344933,true
diseased,7,3493,3408,3014,-75.51574276309897,-80.91380122741204,-78.53194039312513,0.23910553301057166,0.7361159903415329,0.024778476647895675,0.3658472993092326,0.611750331179832,0.02240236951093536,0.0030725485799391657,0.0029446424341918274,0.000574760099196934,0.171902565932998,true
diseased,8,3248,3129,2772,-76.6026210928912,-83.9561177062013,-80.4923742020457,0.2333303453623546,0.7430469314365646,0.023622723201080862,0.36148635262386675,0.6153893582482096,0.023124289127923723,0.0029780528540474817,0.002869284294111098,0.0006360848614354983,0.1605004900173008,true
diseased,9,3368,3221,2903,-77.65987068233702,-87.43665085428067,-81.75005038869492,0.22755318198798585,0.7499017652996369,0.022545052712377223,0.3573475662199985,0.6232107224244873,0.01944171135551412,0.002944345635282767,0.0027900789151276894,0.0005703802901332115,0.15834773277775016,true
diseased,10,3110,2975,2671,-78.69900776904731,-89.58703212048827,-83.06126430658578,0.22158175233890987,0.7568467238914114,0.021571523769678642,0.3467880876679863,0.6355998007557406,0.017612111576273015,0.0032761323039843743,0.0031022936762352842,0.000552821186541694,0.16921014304552806,true
diseased,11,3288,3143,2837,-79.72387380619817,-92.41208258640071,-85.19127663702119,0.2153839127708936,0.7639146078976156,0.02070147933149093,0.33070628517543926,0.6525061681241634,0.0167875467003975,0.0031058423775967275,0.0029902278603791445,0.0004875617286573586,0.16763954524786848,true
diseased,12,3303,3154,2831,-80.7289517695848,-95.79276855130247,-88.2663740375698,0.20927304303084016,0.7708691695734456,0.019857787395714276,0.3207322654019354,0.6627950047554404,0.016472729842624365,0.002964060500258429,0.0029045326475760813,0.0004776248986409956,0.16311996023551073,true
diseased,13,3311,3131,2786,-81.70563617927527,-98.25249091431341,-89.21296497805035,0.2032153319474389,0.7777118300347599,0.019072838017801262,0.3197537409135163,0.6649616072339631,0.015284651852520446,0.0028863866094339975,0.0028810042176939214,0.00045799587301343,0.16120756862418398,true
diseased,14,3241,3048,2710,-82.66197381710127,-98.80989400647444,-89.82290265692116,0.19681418748752133,0.7847443537513721,0.01844145876110659,0.32446875368497985,0.6602287593909808,0.015302486924039314,0.0030407667224734126,0.0029944082545436137,0.0004725935046850911,0.16531737193287033,true
diseased,15,3217,3016,2661,-83.60982171720272,-101.98442105027978,-91.71912187420753,0.190471074970329,0.791713593155567,0.01781533187410405,0.31778736208412717,0.6676803704488079,0.01453226746706484,0.002940718198110685,0.0029767340004731788,0.00048020254045283417,0.16347663763875356,true
diseased,16,3043,2828,2451,-84.53967881601079,-103.86115701583016,-93.98111845162002,0.18457770202825974,0.7983174367947623,0.017104861176978008,0.31118329648504917,0.6750339886591281,0.013782714855822725,0.003335963402364448,0.003384067037388267,0.0004947744781579789,0.17996110877043658,true
diseased,17,2930,2694,2315,-85.43891810550163,-105.96212395952645,-94.77441600857235,0.17908887851516997,0.8045548401296716,0.016356281355158278,0.3119914941092122,0.6750387094123126,0.012969796478475093,0.0033279083114131007,0.0033727442125646174,0.0005165982058844257,0.17505809633378172,true
diseased,18,2730,2487,2096,-86.31467357989214,-109.88652838887006,-95.78275704656849,0.17373463428822392,0.8106355546358577,0.015629811075918428,0.32307250575822566,0.6620292917404721,0.014898202501302272,0.0034562130470731454,0.0035583330890038693,0.0006061328624395044,0.1774534682216993,true
diseased,19,2520,2273,1886,-87.17450631339229,-110.57232100726013,-95.63708997505972,0.16834170320082725,0.8167020001683793,0.014956296630793432,0.33642642053076066,0.6502468058244003,0.01332677364483894,0.0037098599064439705,0.003772529773664739,0.0005790552898420522,0.17985909087453403,true
diseased,20,2455,2209,1863,-88.02259958169032,-108.4176471890665,-95.8133062760931,0.16290630841987136,0.8227677930489461,0.014325898531182431,0.3509803137652734,0.6384271804523224,0.010592505782404284,0.00353065309989127,0.003606896805180432,0.0005124000659572141,0.1695241498434803,true
