group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
healthy,1,7113,425,5702,-75.00338094525866,-66.50990449793198,-55.52812689657757,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.3691478892715654,0.6045019130798913,0.026350197648543305,0.0061697663595210155,0.005047673017347236,0.0013973769455747046,0.10406044507051432,false
healthy,2,10268,6173,9890,-75.96759633301036,-73.46118470696679,-70.21898123796115,0.23849081456348312,0.737733100731456,0.02377608470506085,0.3015597111012828,0.6688106752763058,0.02962961362241135,0.0016516752078780267,0.0013264338293646303,0.0004013089280229003,0.10421583872825976,false
healthy,3,12691,9285,12220,-76.89738634083918,-75.94047681903993,-72.02892128012574,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.2767271686305678,0.6949974110329965,0.02827542033643566,0.0013053058390821125,0.0010582498424428657,0.00031537759663481375,0.10197158422348258,true
healthy,4,11711,6915,10986,-77.79397343002832,-77.87152139631976,-71.3855319649019,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.2675333039103198,0.7077976692228037,0.02466902686687655,0.0014678097172628793,0.0012196152193303452,0.00035436736289243677,0.10141890737668965,true
healthy,5,10794,6594,9980,-78.65853960050089,-81.24012091812814,-73.50415009955366,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.25126247161911763,0.7269953840828209,0.021742144298061365,0.0014868816030847909,0.001272272448469461,0.0003397388567726773,0.10331290986894495,true
healthy,6,9045,6025,8546,-79.49223170310245,-86.15098546008352,-79.96580681777408,0.21611474978544568,0.7627913568780625,0.02109389333649176,0.23506405381124423,0.7439121380146257,0.021023808174129962,0.0015859601098496634,0.0013828833663327251,0.00036739895524445353,0.10734061481750687,true
healthy,7,9823,5336,8925,-80.29615321562717,-86.9778625925799,-83.13085962674865,0.21129919916215067,0.7683028642905563,0.020397936547293067,0.2399405872272157,0.7416643226655383,0.01839509010724604,0.0017215677219140281,0.0015197514301121704,0.0003648471097442897,0.11101469528028322,true
healthy,8,7879,4045,6998,-81.07136567615261,-85.31229886784689,-82.04769262404876,0.20693041551108618,0.773423042176554,0.019646542312359804,0.24942244988199463,0.7331340570727726,0.017443493045232926,0.0018869100035512698,0.0016419962867820095,0.0004164625339921652,0.10443148018909286,true
healthy,9,6999,3904,6377,-81.81889597565137,-86.42559959751661,-83.52680336556054,0.20231036984467432,0.7786486541699446,0.01904097598538111,0.23749193816207834,0.7442057618245765,0.01830230001334506,0.0017917427859126984,0.0015264258912696194,0.00043631709554571926,0.09537413858067256,true
healthy,10,6399,3685,5875,-82.53973211851711,-88.10627566872006,-84.0463397606383,0.19766632606904644,0.7838214233318566,0.01851225059909698,0.2182821661225538,0.7603936089595471,0.0213242249178991,0.0020049977435867856,0.0017189281572886276,0.0004851064310953289,0.10434616009491682,true
healthy,11,6488,3753,5912,-83.23482725268487,-88.74985485142973,-85.13233673040212,0.19304450252971625,0.7889111288265139,0.01804436864376982,0.2057599764116668,0.7731819011439879,0.021058122444345233,0.0018355938927954543,0.0015784967945373144,0.0004578781532871648,0.09670145006802254,true
healthy,12,6336,3813,5868,-83.9050989300593,-88.23295419784534,-84.57768504995022,0.18912281433526687,0.7934403304423326,0.01743685522240049,0.21085189763656118,0.7710302254477719,0.018117876915666898,0.0016781840399684375,0.0014156488543239356,0.0004223337138532652,0.08741560033008229,true
healthy,13,6794,4125,6347,-84.55143581210037,-88.81220080473929,-84.65005590109182,0.18498016107476825,0.7980633241600447,0.01695651476518709,0.21271721822258824,0.7708037611599459,0.01647902061746603,0.001554713180408565,0.001285766047806439,0.0004015364540878377,0.08257981962912389,true
healthy,14,7309,4506,6901,-85.17469075243491,-89.28137715657552,-85.10421966604696,0.1813834475820552,0.8022395120059364,0.01637704041200839,0.2105662207459688,0.7721569475311436,0.01727683172288762,0.0015805770259167775,0.0013160743010250213,0.00039235783234527715,0.08834378504217574,true
healthy,15,8224,4784,7677,-85.77569128253181,-90.3659608021229,-87.01240767428881,0.17698627432906724,0.8069240643682903,0.016089661302642475,0.1998065359885215,0.782816662405287,0.017376801606191365,0.0015682778985833554,0.0013198559997947422,0.0003668848043149124,0.09128977495409303,true
healthy,16,8674,4975,7982,-86.35522820490354,-91.56167825900131,-89.09382111074571,0.173406711984626,0.8109737505617961,0.0156195374535779,0.18684145462727675,0.794244944660361,0.018913600712362266,0.001566505813858742,0.0013166255826035078,0.00037784092025100734,0.09286644738930731,true
healthy,17,9077,5197,8242,-86.9140696966459,-91.48324119886435,-89.93520486438717,0.1699237415165385,0.8149009302164146,0.015175328267046916,0.18710912625200515,0.7925026674645317,0.020388206283463245,0.001650686922010099,0.0013759430925288237,0.0004000068505761821,0.09919204196901503,true
healthy,18,8970,5053,8178,-87.45295513155271,-90.39302264858468,-89.70840460002262,0.16639931683692794,0.8188052489452065,0.014795434217865555,0.19014065062631158,0.7888360745671776,0.02102327480651094,0.0017118913650633098,0.0014242613868074177,0.0004149675108433574,0.10124284703693553,true
healthy,19,8707,4755,7877,-87.97259641989004,-90.55169006572287,-90.31891074791405,0.1631310999501747,0.8224778785436467,0.014391021506178553,0.19535825986803115,0.7834811129942172,0.021160627137751607,0.0018475219300544995,0.0015457975090846802,0.00043643610321398505,0.10659279835141008,true
healthy,20,8327,4434,7524,-88.47368143068998,-93.32637213284119,-91.48658328966407,0.1598448315831778,0.8261147440210026,0.014040424395819673,0.20737856832212367,0.7767874767756924,0.01583395490218399,0.0018868478945449705,0.0016248111529153515,0.000407937713574314,0.10819339179089173,true
diseased,1,2953,147,2402,-68.39024947183411,-56.86983386188948,-52.37074617104764,0.2711078552748024,0.6948246293265149,0.03406751539868272,0.4364910224239218,0.5319382024722574,0.03157077510382074,0.009562182388577567,0.00788511161227608,0.0031906613553787377,0.09560189755069462,false
diseased,2,4719,2755,4489,-69.73252174953547,-69.65988647544016,-65.93956537474023,0.26873224476860025,0.7000173728131248,0.03125038241827497,0.3548368315860642,0.620802459786999,0.02436070862693684,0.002243124248611319,0.0018932041720503168,0.0005396974175304314,0.09937067833181144,false
diseased,3,5924,3950,5506,-71.03151514149735,-74.18711184441288,-70.5955843868318,0.25976782200714593,0.7097605823482122,0.030471595644641823,0.3236771227745375,0.6566225049334223,0.01970037229204025,0.0017062674172807315,0.0014287656625502755,0.00043203642249743196,0.08979652948754074,true
diseased,4,5428,2927,4814,-72.28860769627336,-78.31871323215705,-79.28031174771064,0.2517090865370699,0.718753122021348,0.029537791441582084,0.30782643859811115,0.6744260941956414,0.017747467206247418,0.0020647997756977256,0.001728360701072453,0.0005024073606230477,0.09350734889293533,true
diseased,5,4845,2234,3945,-73.50514942240264,-81.71674343850214,-85.37312334976873,0.24514129371920396,0.7265842691080044,0.028274437172791666,0.2742977198574617,0.7038151623515276,0.021887117791010748,0.0026330742441329374,0.002178521313251183,0.0006451204951178211,0.10296826560088841,true
diseased,6,3672,1763,3016,-74.68244370246467,-79.5088619204049,-79.98913303104572,0.2418827672542551,0.7319703911032809,0.026146841642464013,0.2688932230238226,0.7070935956660975,0.02401318131007979,0.003028661931895059,0.0024748890307073634,0.0007423899320992763,0.10391587214828377,true
diseased,7,3493,1824,3018,-75.82177298362397,-79.98981676812758,-78.73724211028588,0.23511746994523233,0.7397393557177674,0.025143174337000355,0.2900238494361494,0.6895859549766794,0.02039019558717125,0.0029927987083062393,0.002516266225544646,0.000657342164950955,0.10746548557233462,true
diseased,8,3248,1545,2775,-76.92434971128529,-82.65228969981369,-80.72027826876254,0.22988483406695123,0.7463273343391916,0.023787831593857122,0.2907522701057384,0.6924574900121854,0.01679023988207619,0.0029423491236674837,0.0024898734832557545,0.0006735936962467308,0.09786818222613579,true
diseased,9,3368,1564,2903,-77.99136340953802,-83.38397773147544,-81.98230141506005,0.22448479238654623,0.7529407766138572,0.022574430999596582,0.2880928568185647,0.6966995933913604,0.015207549790074779,0.0031052582896927373,0.0026413560312929336,0.0006792704935731053,0.10445886881376028,true
diseased,10,3110,1496,2672,-79.02396112986722,-85.36601932036048,-83.32504253901408,0.21893977493428904,0.7595668067321351,0.021493418333575896,0.26901755507891323,0.7152224110338312,0.015760033887255744,0.003332656495886227,0.0028666506037065783,0.0007065690247455449,0.11087676845427093,true
diseased,11,3288,1514,2837,-80.02325313930461,-87.20103977158016,-85.39646330407525,0.21318455603754297,0.7662544969334555,0.020560947029001606,0.25229876489626524,0.732211187977909,0.015490047125825952,0.0032100439223093306,0.0027872386724683163,0.0006466520888128688,0.10845188296104707,true
diseased,12,3303,1361,2832,-80.99031300829108,-91.00635652731307,-88.47411890218487,0.2075154831602233,0.7727968955337278,0.01968762130604898,0.22691150317853165,0.7580012738003411,0.015087223021127284,0.0029784117709186716,0.002548710515574313,0.000661313913404831,0.0940263490872795,true
diseased,13,3311,1243,2786,-81.9261805690186,-91.86712916858332,-89.40230399074952,0.20185771350114784,0.7792496976976936,0.01889258880115848,0.22667288762677917,0.7607956471583603,0.012531465214860477,0.0028932599677957307,0.0025354641798709106,0.0005887429436465261,0.0893908452192322,true
diseased,14,3241,1112,2712,-82.83186297767408,-93.22946183458507,-89.92010631744137,0.19578774665159265,0.7859152991998688,0.01829695414853849,0.21747971048859827,0.76912971469235,0.013390574819051607,0.0032884517679046482,0.0028707272933612225,0.0006436220096860165,0.09572917849040669,true
diseased,15,3217,991,2660,-83.70833182338869,-94.48214736307185,-91.76398597157987,0.19014763786947306,0.7922002198527419,0.017652142277784957,0.20838375486739671,0.7817942271041038,0.00982201802849918,0.003144918244902248,0.0028716414028575493,0.0005411236669666708,0.09039970922235438,true
diseased,16,3043,819,2451,-84.5565292262513,-97.58880202557724,-93.99858205010092,0.1849925407567383,0.7980678854386245,0.01693957380463712,0.19440100164350185,0.7972008298311825,0.008398168525315627,0.00350207143202094,0.0033386392232009074,0.0005200040719845006,0.09554576503198696,true
diseased,17,2930,622,2315,-85.37736838745916,-98.86262327605122,-94.7288466781056,0.17977877352726743,0.8039055124827367,0.016315713989995907,0.1956878424938598,0.7954047777372307,0.008907379768909268,0.004210832439870416,0.003985548045538485,0.0006945576161031774,0.09939928060549476,true
diseased,18,2730,400,2096,-86.17173113417593,-99.4744458770752,-95.67311846572935,0.1747597393000154,0.8095360444956053,0.015704216204379264,0.2220395773169361,0.7749660722284392,0.002994350454624722,0.005481508108374203,0.005372210915767766,0.0005008463662589175,0.10744421831535532,true
diseased,19,2520,275,1886,-86.94047235714338,-101.7819035061923,-95.54253695094573,0.16956828906388824,0.8152215924147561,0.015210118521355715,0.2523266804814821,0.7441227613783669,0.0035505581401510497,0.005392253152390508,0.005302245403321141,0.000836226452870823,0.08792779274601431,true
